First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,70,0,5,38,38,107,0,0,70
202,59,0,0,51,108,166,57,57,116
203,79,0,4,91,167,245,76,76,155
204,53,0,6,140,246,298,106,106,159
205,58,0,5,165,299,356,134,134,192
206,78,0,2,187,357,434,170,170,248
207,100,0,4,196,435,534,239,239,339
208,85,0,1,206,535,619,329,329,414
209,75,0,3,246,620,694,374,374,449
210,35,0,9,262,695,729,433,433,468
211,72,0,0,308,730,801,422,422,494
212,51,0,7,319,802,852,483,483,534
213,65,0,1,326,853,917,527,527,592
214,45,0,0,354,918,962,564,564,609
215,20,0,6,368,963,982,595,595,615
216,60,0,3,398,983,1042,585,585,645
217,48,0,7,428,1043,1090,615,615,663
218,40,0,4,440,1091,1130,651,651,691
219,97,0,2,488,1131,1227,643,643,740
220,91,0,3,515,1228,1318,713,713,804
221,53,0,4,537,1319,1371,782,782,835
222,52,0,7,585,1372,1423,787,787,839
223,78,0,5,606,1424,1501,818,818,896
224,66,0,4,615,1502,1567,887,887,953
225,48,0,9,621,1568,1615,947,947,995
226,71,0,6,665,1616,1686,951,951,1022
227,57,0,7,689,1687,1743,998,998,1055
228,62,0,5,698,1744,1805,1046,1046,1108
229,67,0,7,739,1806,1872,1067,1067,1134
230,84,0,2,771,1873,1956,1102,1102,1186
231,85,0,2,814,1957,2041,1143,1143,1228
232,100,0,9,822,2042,2141,1220,1220,1320
233,83,0,2,868,2142,2224,1274,1274,1357
234,36,0,9,893,2225,2260,1332,1332,1368
235,69,0,3,925,2261,2329,1336,1336,1405
236,36,0,1,964,2330,2365,1366,1366,1402
237,52,0,4,1005,2366,2417,1361,1361,1413
238,26,0,0,1020,2418,2443,1398,1398,1424
239,63,0,0,1065,2444,2506,1379,1379,1442
240,71,0,4,1110,2507,2577,1397,1397,1468
241,47,0,5,1140,2578,2624,1438,1438,1485
242,64,0,8,1145,2625,2688,1480,1480,1544
243,69,0,7,1163,2689,2757,1526,1526,1595
244,59,0,4,1170,2758,2816,1588,1588,1647
245,68,0,2,1175,2817,2884,1642,1642,1710
246,51,0,0,1181,2885,2935,1704,1704,1755
247,37,0,0,1183,2936,2972,1753,1753,1790
248,54,0,4,1192,2973,3026,1781,1781,1835
249,59,0,1,1221,3027,3085,1806,1806,1865
250,63,0,7,1242,3086,3148,1844,1844,1907
251,73,0,4,1288,3149,3221,1861,1861,1934
252,32,0,2,1334,3222,3253,1888,1888,1920
253,65,0,4,1383,3254,3318,1871,1871,1936
254,51,0,4,1429,3319,3369,1890,1890,1941
255,21,0,2,1448,3370,3390,1922,1922,1943
256,21,0,2,1469,3391,3411,1922,1922,1943
257,68,0,8,1480,3412,3479,1932,1932,2000
258,87,0,6,1483,3480,3566,1997,1997,2084
259,70,0,2,1529,3567,3636,2038,2038,2108
260,54,0,9,1542,3637,3690,2095,2095,2149
261,80,0,2,1573,3691,3770,2118,2118,2198
262,55,0,7,1612,3771,3825,2159,2159,2214
263,55,0,1,1640,3826,3880,2186,2186,2241
264,59,0,0,1641,3881,3939,2240,2240,2299
265,63,0,3,1686,3940,4002,2254,2254,2317
266,70,0,3,1702,4003,4072,2301,2301,2371
267,15,0,1,1702,4073,4087,2371,2371,2386
268,75,0,1,1749,4088,4162,2339,2339,2414
269,65,0,1,1764,4163,4227,2399,2399,2464
270,63,0,0,1770,4228,4290,2458,2458,2521
271,64,0,5,1789,4291,4354,2502,2502,2566
272,35,0,4,1797,4355,4389,2558,2558,2593
273,81,0,5,1799,4390,4470,2591,2591,2672
274,48,0,6,1847,4471,4518,2624,2624,2672
275,77,0,5,1852,4519,4595,2667,2667,2744
276,53,0,4,1856,4596,4648,2740,2740,2793
277,69,0,6,1873,4649,4717,2776,2776,2845
278,30,0,4,1894,4718,4747,2824,2824,2854
279,52,0,7,1905,4748,4799,2843,2843,2895
280,53,0,2,1911,4800,4852,2889,2889,2942
281,35,0,6,1958,4853,4887,2895,2895,2930
282,45,0,6,1993,4888,4932,2895,2895,2940
283,61,0,3,2018,4933,4993,2915,2915,2976
284,73,0,4,2048,4994,5066,2946,2946,3019
285,60,0,4,2081,5067,5126,2986,2986,3046
286,75,0,7,2129,5127,5201,2998,2998,3073
287,90,0,1,2142,5202,5291,3060,3060,3150
288,60,0,3,2184,5292,5351,3108,3108,3168
289,50,0,2,2193,5352,5401,3159,3159,3209
290,56,0,6,2223,5402,5457,3179,3179,3235
291,31,0,0,2248,5458,5488,3210,3210,3241
292,44,0,9,2260,5489,5532,3229,3229,3273
293,47,0,3,2269,5533,5579,3264,3264,3311
294,60,0,1,2273,5580,5639,3307,3307,3367
295,64,0,8,2284,5640,5703,3356,3356,3420
296,40,0,4,2287,5704,5743,3417,3417,3457
297,67,0,4,2314,5744,5810,3430,3430,3497
298,57,0,7,2357,5811,5867,3454,3454,3511
299,71,0,0,2380,5868,5938,3488,3488,3559
300,75,0,5,2384,5939,6013,3555,3555,3630
301,70,0,4,2425,6014,6083,3589,3589,3659
302,69,0,1,2451,6084,6152,3633,3633,3702
303,35,0,4,2488,6153,6187,3665,3665,3700
304,86,0,1,2499,6188,6273,3689,3689,3775
305,29,0,2,2513,6274,6302,3761,3761,3790
306,76,0,8,2533,6303,6378,3770,3770,3846
307,64,0,1,2582,6379,6442,3797,3797,3861
308,31,0,7,2597,6443,6473,3846,3846,3877
309,53,0,9,2599,6474,6526,3875,3875,3928
310,43,0,2,2603,6527,6569,3924,3924,3967
311,64,0,9,2638,6570,6633,3932,3932,3996
312,38,0,0,2638,6634,6671,3996,3996,4034
