Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
2001,30,13,5,38,38,67,0,0,30
2002,19,54,0,51,68,86,17,17,36
2003,39,48,4,91,91,129,0,0,39
2004,13,3,6,140,140,152,0,0,13
2005,18,5,5,165,165,182,0,0,18
2006,38,0,2,187,187,224,0,0,38
2007,60,19,4,196,225,284,29,29,89
2008,45,22,1,206,332,376,126,126,171
2009,35,18,3,246,286,320,40,40,75
2010,1,19,9,262,285,285,23,23,24
2011,32,34,0,308,436,467,128,128,160
2012,11,14,7,319,321,331,2,2,13
2013,25,23,1,326,378,402,52,52,77
2014,5,0,0,354,423,427,69,69,74
2015,1,6,6,368,377,377,9,9,10
2016,20,7,3,398,403,422,5,5,25
2017,8,15,7,428,428,435,0,0,8
2018,1,33,4,440,468,468,28,28,29
2019,57,2,2,488,488,544,0,0,57
2020,51,0,3,515,558,608,43,43,94
2021,13,2,4,537,545,557,8,8,21
2022,12,19,7,585,609,620,24,24,36
2023,38,14,5,606,629,666,23,23,61
2024,26,0,4,615,737,762,122,122,148
2025,8,35,9,621,621,628,0,0,8
2026,31,0,6,665,667,697,2,2,33
2027,17,0,7,689,698,714,9,9,26
2028,22,30,5,698,715,736,17,17,39
2029,27,0,7,739,763,789,24,24,51
2030,44,12,2,771,790,833,19,19,63
2031,45,12,2,814,900,944,86,86,131
2032,65,0,9,822,834,898,12,12,77
2033,43,0,2,868,974,1016,106,106,149
2034,1,0,9,893,899,899,6,6,7
2035,29,10,3,925,945,973,20,20,49
2036,1,4,1,964,1029,1029,65,65,66
2037,12,8,4,1005,1017,1028,12,12,24
2038,1,0,0,1020,1030,1030,10,10,11
2039,23,0,0,1065,1065,1087,0,0,23
2040,31,9,4,1110,1110,1140,0,0,31
2041,7,0,5,1140,1141,1147,1,1,8
2042,24,16,8,1145,1148,1171,3,3,27
2043,29,0,7,1163,1172,1200,9,9,38
2044,19,23,4,1170,1201,1219,31,31,50
2045,28,23,2,1175,1234,1261,59,59,87
2046,11,21,0,1181,1338,1348,157,157,168
2047,1,0,0,1183,1349,1349,166,166,167
2048,14,0,4,1192,1220,1233,28,28,42
2049,19,47,1,1221,1285,1303,64,64,83
2050,23,35,7,1242,1262,1284,20,20,43
