Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1951,30,13,5,38,38,67,0,0,30
1952,19,54,0,51,68,86,17,17,36
1953,39,48,4,91,91,129,0,0,39
1954,13,3,6,140,140,152,0,0,13
1955,18,5,5,165,165,182,0,0,18
1956,38,0,2,187,187,224,0,0,38
1957,60,19,4,196,225,284,29,29,89
1958,45,22,1,206,332,376,126,126,171
1959,35,18,3,246,286,320,40,40,75
1960,1,19,9,262,285,285,23,23,24
1961,32,34,0,308,436,467,128,128,160
1962,11,14,7,319,321,331,2,2,13
1963,25,23,1,326,378,402,52,52,77
1964,5,0,0,354,423,427,69,69,74
1965,1,6,6,368,377,377,9,9,10
1966,20,7,3,398,403,422,5,5,25
1967,8,15,7,428,428,435,0,0,8
1968,1,33,4,440,468,468,28,28,29
1969,57,2,2,488,488,544,0,0,57
1970,51,0,3,515,558,608,43,43,94
1971,13,2,4,537,545,557,8,8,21
1972,12,19,7,585,609,620,24,24,36
1973,38,14,5,606,629,666,23,23,61
1974,26,0,4,615,737,762,122,122,148
1975,8,35,9,621,621,628,0,0,8
1976,31,0,6,665,667,697,2,2,33
1977,17,0,7,689,698,714,9,9,26
1978,22,30,5,698,715,736,17,17,39
1979,27,0,7,739,763,789,24,24,51
1980,44,12,2,771,790,833,19,19,63
1981,45,12,2,814,900,944,86,86,131
1982,65,0,9,822,834,898,12,12,77
1983,43,0,2,868,974,1016,106,106,149
1984,1,0,9,893,899,899,6,6,7
1985,29,10,3,925,945,973,20,20,49
1986,1,4,1,964,1029,1029,65,65,66
1987,12,8,4,1005,1017,1028,12,12,24
1988,1,0,0,1020,1030,1030,10,10,11
1989,23,0,0,1065,1065,1087,0,0,23
1990,31,9,4,1110,1110,1140,0,0,31
1991,7,0,5,1140,1141,1147,1,1,8
1992,24,16,8,1145,1148,1171,3,3,27
1993,29,0,7,1163,1172,1200,9,9,38
1994,19,23,4,1170,1201,1219,31,31,50
1995,28,23,2,1175,1234,1261,59,59,87
1996,11,21,0,1181,1338,1348,157,157,168
1997,1,0,0,1183,1349,1349,166,166,167
1998,14,0,4,1192,1220,1233,28,28,42
1999,19,47,1,1221,1285,1303,64,64,83
2000,23,35,7,1242,1262,1284,20,20,43
2001,33,0,4,1288,1304,1336,16,16,49
2002,1,32,2,1334,1337,1337,3,3,4
2003,25,24,4,1383,1383,1407,0,0,25
2004,11,14,4,1429,1429,1439,0,0,11
2005,1,27,2,1448,1448,1448,0,0,1
2006,1,11,2,1469,1469,1469,0,0,1
2007,28,3,8,1480,1480,1507,0,0,28
2008,47,0,6,1483,1508,1554,25,25,72
2009,30,15,2,1529,1569,1598,40,40,70
2010,14,26,9,1542,1555,1568,13,13,27
2011,40,14,2,1573,1599,1638,26,26,66
2012,15,5,7,1612,1639,1653,27,27,42
2013,15,7,1,1640,1654,1668,14,14,29
2014,19,6,0,1641,1669,1687,28,28,47
2015,23,15,3,1686,1688,1710,2,2,25
2016,30,46,3,1702,1711,1740,9,9,39
2017,1,0,1,1702,1741,1741,39,39,40
2018,35,2,1,1749,1749,1783,0,0,35
2019,25,0,1,1764,1784,1808,20,20,45
2020,23,35,0,1770,1989,2011,219,219,242
2021,24,0,5,1789,1809,1832,20,20,44
2022,1,0,4,1797,1961,1961,164,164,165
2023,41,21,5,1799,1833,1873,34,34,75
2024,8,9,6,1847,1874,1881,27,27,35
2025,37,35,5,1852,1923,1959,71,71,108
2026,13,18,4,1856,1963,1975,107,107,120
2027,29,0,6,1873,1882,1910,9,9,38
2028,1,36,4,1894,1962,1962,68,68,69
2029,12,11,7,1905,1911,1922,6,6,18
2030,13,5,2,1911,1976,1988,65,65,78
2031,1,11,6,1958,1960,1960,2,2,3
2032,5,8,6,1993,2012,2016,19,19,24
2033,21,0,3,2018,2018,2038,0,0,21
2034,33,14,4,2048,2048,2080,0,0,33
2035,20,0,4,2081,2081,2100,0,0,20
2036,35,4,7,2129,2129,2163,0,0,35
2037,50,0,1,2142,2164,2213,22,22,72
2038,20,38,3,2184,2214,2233,30,30,50
