Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1801,30,13,5,38,38,67,0,0,30
1802,19,54,0,51,68,86,17,17,36
1803,39,48,4,91,91,129,0,0,39
1804,13,3,6,140,140,152,0,0,13
1805,18,5,5,165,165,182,0,0,18
1806,38,0,2,187,187,224,0,0,38
1807,60,19,4,196,306,365,110,110,170
1808,45,22,1,206,225,269,19,19,64
1809,35,18,3,246,271,305,25,25,60
1810,1,19,9,262,270,270,8,8,9
1811,32,34,0,308,436,467,128,128,160
1812,11,14,7,319,372,382,53,53,64
1813,25,23,1,326,383,407,57,57,82
1814,5,0,0,354,366,370,12,12,17
1815,1,6,6,368,371,371,3,3,4
1816,20,7,3,398,408,427,10,10,30
1817,8,15,7,428,428,435,0,0,8
1818,1,33,4,440,468,468,28,28,29
1819,57,2,2,488,488,544,0,0,57
1820,51,0,3,515,558,608,43,43,94
1821,13,2,4,537,545,557,8,8,21
1822,12,19,7,585,609,620,24,24,36
1823,38,14,5,606,655,692,49,49,87
1824,26,0,4,615,629,654,14,14,40
1825,8,35,9,621,621,628,0,0,8
1826,31,0,6,665,732,762,67,67,98
1827,17,0,7,689,693,709,4,4,21
1828,22,30,5,698,710,731,12,12,34
1829,27,0,7,739,763,789,24,24,51
1830,44,12,2,771,790,833,19,19,63
1831,45,12,2,814,834,878,20,20,65
1832,65,0,9,822,923,987,101,101,166
1833,43,0,2,868,879,921,11,11,54
1834,1,0,9,893,922,922,29,29,30
1835,29,10,3,925,989,1017,64,64,93
1836,1,4,1,964,988,988,24,24,25
1837,12,8,4,1005,1018,1029,13,13,25
1838,1,0,0,1020,1030,1030,10,10,11
1839,23,0,0,1065,1065,1087,0,0,23
1840,31,9,4,1110,1110,1140,0,0,31
1841,7,0,5,1140,1141,1147,1,1,8
1842,24,16,8,1145,1148,1171,3,3,27
1843,29,0,7,1163,1287,1315,124,124,153
1844,19,23,4,1170,1172,1190,2,2,21
1845,28,23,2,1175,1217,1244,42,42,70
1846,11,21,0,1181,1192,1202,11,11,22
1847,1,0,0,1183,1191,1191,8,8,9
1848,14,0,4,1192,1203,1216,11,11,25
1849,19,47,1,1221,1245,1263,24,24,43
1850,23,35,7,1242,1264,1286,22,22,45
1851,33,0,4,1288,1316,1348,28,28,61
1852,1,32,2,1334,1349,1349,15,15,16
1853,25,24,4,1383,1383,1407,0,0,25
1854,11,14,4,1429,1429,1439,0,0,11
1855,1,27,2,1448,1448,1448,0,0,1
1856,1,11,2,1469,1469,1469,0,0,1
1857,28,3,8,1480,1480,1507,0,0,28
1858,47,0,6,1483,1508,1554,25,25,72
1859,30,15,2,1529,1569,1598,40,40,70
1860,14,26,9,1542,1555,1568,13,13,27
1861,40,14,2,1573,1599,1638,26,26,66
1862,15,5,7,1612,1639,1653,27,27,42
1863,15,7,1,1640,1654,1668,14,14,29
1864,19,6,0,1641,1669,1687,28,28,47
1865,23,15,3,1686,1688,1710,2,2,25
1866,30,46,3,1702,1712,1741,10,10,40
1867,1,0,1,1702,1711,1711,9,9,10
