Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,30,13,5,38,38,67,0,0,30
202,19,54,0,51,68,86,17,17,36
203,39,48,4,91,91,129,0,0,39
204,13,3,6,140,140,152,0,0,13
205,18,5,5,165,165,182,0,0,18
206,38,0,2,187,187,224,0,0,38
207,60,19,4,196,306,365,110,110,170
208,45,22,1,206,225,269,19,19,64
209,35,18,3,246,271,305,25,25,60
210,1,19,9,262,270,270,8,8,9
211,32,34,0,308,436,467,128,128,160
212,11,14,7,319,372,382,53,53,64
213,25,23,1,326,383,407,57,57,82
214,5,0,0,354,366,370,12,12,17
215,1,6,6,368,371,371,3,3,4
216,20,7,3,398,408,427,10,10,30
217,8,15,7,428,428,435,0,0,8
218,1,33,4,440,468,468,28,28,29
219,57,2,2,488,488,544,0,0,57
220,51,0,3,515,558,608,43,43,94
221,13,2,4,537,545,557,8,8,21
222,12,19,7,585,609,620,24,24,36
223,38,14,5,606,655,692,49,49,87
224,26,0,4,615,629,654,14,14,40
225,8,35,9,621,621,628,0,0,8
226,31,0,6,665,732,762,67,67,98
227,17,0,7,689,693,709,4,4,21
228,22,30,5,698,710,731,12,12,34
229,27,0,7,739,763,789,24,24,51
230,44,12,2,771,790,833,19,19,63
231,45,12,2,814,834,878,20,20,65
232,65,0,9,822,923,987,101,101,166
233,43,0,2,868,879,921,11,11,54
234,1,0,9,893,922,922,29,29,30
235,29,10,3,925,989,1017,64,64,93
236,1,4,1,964,988,988,24,24,25
237,12,8,4,1005,1018,1029,13,13,25
238,1,0,0,1020,1030,1030,10,10,11
239,23,0,0,1065,1065,1087,0,0,23
240,31,9,4,1110,1110,1140,0,0,31
241,7,0,5,1140,1141,1147,1,1,8
242,24,16,8,1145,1148,1171,3,3,27
243,29,0,7,1163,1287,1315,124,124,153
244,19,23,4,1170,1172,1190,2,2,21
245,28,23,2,1175,1217,1244,42,42,70
246,11,21,0,1181,1192,1202,11,11,22
247,1,0,0,1183,1191,1191,8,8,9
248,14,0,4,1192,1203,1216,11,11,25
249,19,47,1,1221,1245,1263,24,24,43
250,23,35,7,1242,1264,1286,22,22,45
251,33,0,4,1288,1316,1348,28,28,61
252,1,32,2,1334,1349,1349,15,15,16
253,25,24,4,1383,1383,1407,0,0,25
254,11,14,4,1429,1429,1439,0,0,11
255,1,27,2,1448,1448,1448,0,0,1
256,1,11,2,1469,1469,1469,0,0,1
257,28,3,8,1480,1480,1507,0,0,28
258,47,0,6,1483,1508,1554,25,25,72
259,30,15,2,1529,1569,1598,40,40,70
260,14,26,9,1542,1555,1568,13,13,27
261,40,14,2,1573,1599,1638,26,26,66
262,15,5,7,1612,1639,1653,27,27,42
263,15,7,1,1640,1654,1668,14,14,29
264,19,6,0,1641,1669,1687,28,28,47
265,23,15,3,1686,1688,1710,2,2,25
266,30,46,3,1702,1712,1741,10,10,40
267,1,0,1,1702,1711,1711,9,9,10
268,35,2,1,1749,1749,1783,0,0,35
269,25,0,1,1764,1832,1856,68,68,93
270,23,35,0,1770,1784,1806,14,14,37
271,24,0,5,1789,1808,1831,19,19,43
272,1,0,4,1797,1807,1807,10,10,11
273,41,21,5,1799,1971,2011,172,172,213
274,8,9,6,1847,1857,1864,10,10,18
275,37,35,5,1852,1933,1969,81,81,118
276,13,18,4,1856,1865,1877,9,9,22
277,29,0,6,1873,1878,1906,5,5,34
278,1,36,4,1894,1907,1907,13,13,14
279,12,11,7,1905,1908,1919,3,3,15
280,13,5,2,1911,1920,1932,9,9,22
281,1,11,6,1958,1970,1970,12,12,13
282,5,8,6,1993,2012,2016,19,19,24
283,21,0,3,2018,2018,2038,0,0,21
284,33,14,4,2048,2048,2080,0,0,33
285,20,0,4,2081,2081,2100,0,0,20
286,35,4,7,2129,2129,2163,0,0,35
287,50,0,1,2142,2164,2213,22,22,72
288,20,38,3,2184,2240,2259,56,56,76
289,10,26,2,2193,2214,2223,21,21,31
290,16,0,6,2223,2224,2239,1,1,17
291,1,13,0,2248,2260,2260,12,12,13
292,4,24,9,2260,2261,2264,1,1,5
293,7,8,3,2269,2269,2275,0,0,7
294,20,62,1,2273,2276,2295,3,3,23
295,24,17,8,2284,2297,2320,13,13,37
296,1,10,4,2287,2296,2296,9,9,10
297,27,0,4,2314,2321,2347,7,7,34
298,17,4,7,2357,2357,2373,0,0,17
299,31,0,0,2380,2380,2410,0,0,31
300,35,17,5,2384,2411,2445,27,27,62
301,30,2,4,2425,2446,2475,21,21,51
302,29,0,1,2451,2476,2504,25,25,54
303,1,9,4,2488,2505,2505,17,17,18
304,46,1,1,2499,2506,2551,7,7,53
305,1,23,2,2513,2552,2552,39,39,40
306,36,0,8,2533,2553,2588,20,20,56
307,24,32,1,2582,2589,2612,7,7,31
308,1,0,7,2597,2613,2613,16,16,17
309,13,11,9,2599,2617,2629,18,18,31
310,3,0,2,2603,2614,2616,11,11,14
311,24,0,9,2638,2639,2662,1,1,25
312,1,0,0,2638,2638,2638,0,0,1
313,1,4,5,2642,2663,2663,21,21,22
314,10,3,6,2649,2664,2673,15,15,25
315,54,23,3,2685,2685,2738,0,0,54
316,1,27,6,2715,2739,2739,24,24,25
317,25,17,5,2748,2748,2772,0,0,25
318,10,6,3,2791,2791,2800,0,0,10
319,24,27,0,2828,2828,2851,0,0,24
320,1,34,9,2851,2852,2852,1,1,2
321,58,0,6,2880,3020,3077,140,140,198
322,43,0,2,2880,2880,2922,0,0,43
323,1,1,6,2897,2923,2923,26,26,27
324,31,0,1,2906,2937,2967,31,31,62
325,13,16,6,2919,2924,2936,5,5,18
326,37,28,3,2960,2968,3004,8,8,45
327,11,12,6,2970,3005,3015,35,35,46
328,4,0,2,3015,3016,3019,1,1,5
329,5,18,4,3050,3078,3082,28,28,33
330,20,6,4,3062,3083,3102,21,21,41
331,29,22,0,3065,3140,3168,75,75,104
332,25,39,7,3086,3103,3127,17,17,42
333,12,15,0,3127,3128,3139,1,1,13
334,17,0,5,3162,3169,3185,7,7,24
335,26,17,6,3209,3209,3234,0,0,26
336,7,44,7,3230,3235,3241,5,5,12
337,36,7,2,3243,3243,3278,0,0,36
338,1,9,4,3270,3279,3279,9,9,10
339,3,28,9,3302,3302,3304,0,0,3
340,49,0,6,3316,3329,3377,13,13,62
341,13,23,4,3316,3316,3328,0,0,13
342,15,0,5,3342,3378,3392,36,36,51
343,46,47,1,3344,3516,3561,172,172,218
344,29,0,5,3368,3393,3421,25,25,54
345,34,1,9,3396,3422,3455,26,26,60
346,12,19,8,3442,3456,3467,14,14,26
347,17,0,4,3450,3468,3484,18,18,35
348,31,28,3,3481,3485,3515,4,4,35
349,59,0,3,3526,3590,3648,64,64,123
350,28,56,0,3551,3562,3589,11,11,39
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,20.95,20.95,42.24
,,,,,Max,172,172,218
,,,,,StdDev,30.95,30.95,39.70
