Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
351,30,23,5,38,38,84,17,0,47
352,19,64,0,51,51,86,17,0,36
353,39,58,4,91,91,129,0,0,39
354,13,13,6,140,140,152,0,0,13
355,18,15,5,165,165,182,0,0,18
356,38,7,2,187,187,285,61,0,99
357,60,29,4,196,196,385,130,0,190
358,45,32,1,206,207,349,99,1,144
359,35,28,3,246,248,364,84,2,119
360,1,29,9,262,386,386,124,124,125
361,32,44,0,308,391,468,129,83,161
362,11,24,7,319,350,388,59,31,70
363,25,33,1,326,365,438,88,39,113
364,5,0,0,354,359,376,18,5,23
365,1,16,6,368,390,390,22,22,23
366,20,17,3,398,399,456,39,1,59
367,8,25,7,428,441,460,25,13,33
368,1,43,4,440,461,461,21,21,22
369,57,12,2,488,488,588,44,0,101
370,51,0,3,515,515,648,83,0,134
371,13,12,4,537,538,574,25,1,38
372,12,29,7,585,586,611,15,1,27
373,38,24,5,606,607,727,84,1,122
374,26,0,4,615,616,693,53,1,79
375,8,45,9,621,623,651,23,2,31
376,31,0,6,665,666,769,74,1,105
377,17,6,7,689,691,751,46,2,63
378,22,40,5,698,700,773,54,2,76
379,27,10,7,739,741,806,41,2,68
380,44,22,2,771,772,869,55,1,99
381,45,22,2,814,814,950,92,0,137
382,65,4,9,822,823,1025,139,1,204
383,43,1,2,868,870,1005,95,2,138
384,1,2,9,893,895,895,2,2,3
385,29,20,3,925,927,1018,65,2,94
386,1,14,1,964,966,966,2,2,3
387,12,18,4,1005,1007,1030,14,2,26
388,1,3,0,1020,1021,1021,1,1,2
389,23,0,0,1065,1065,1087,0,0,23
390,31,19,4,1110,1110,1141,1,0,32
391,7,6,5,1140,1140,1150,4,0,11
392,24,26,8,1145,1145,1185,17,0,41
393,29,3,7,1163,1163,1270,79,0,108
394,19,33,4,1170,1171,1244,56,1,75
395,28,33,2,1175,1177,1285,83,2,111
396,11,31,0,1181,1190,1230,39,9,50
397,1,0,0,1183,1187,1187,4,4,5
398,14,4,4,1192,1232,1281,76,40,90
399,19,57,1,1221,1307,1344,105,86,124
400,23,45,7,1242,1246,1305,41,4,64
401,33,7,4,1288,1289,1349,29,1,62
402,1,42,2,1334,1346,1346,12,12,13
403,25,34,4,1383,1383,1407,0,0,25
404,11,24,4,1429,1429,1439,0,0,11
405,1,37,2,1448,1448,1448,0,0,1
406,1,21,2,1469,1469,1469,0,0,1
407,28,13,8,1480,1480,1534,27,0,55
408,47,0,6,1483,1483,1598,69,0,116
409,30,25,2,1529,1530,1612,54,1,84
410,14,36,9,1542,1543,1585,30,1,44
411,40,24,2,1573,1575,1677,65,2,105
412,15,15,7,1612,1613,1642,16,1,31
413,15,17,1,1640,1641,1682,28,1,43
414,19,16,0,1641,1643,1689,30,2,49
415,23,25,3,1686,1686,1720,12,0,35
416,30,56,3,1702,1702,1741,10,0,40
417,1,0,1,1702,1703,1703,1,1,2
418,35,12,1,1749,1749,1839,56,0,91
419,25,6,1,1764,1764,1854,66,0,91
420,23,45,0,1770,1771,1863,71,1,94
421,24,0,5,1789,1791,1896,84,2,108
422,1,8,4,1797,1800,1800,3,3,4
423,41,31,5,1799,1803,1971,132,4,173
424,8,19,6,1847,1855,1890,36,8,44
425,37,45,5,1852,1959,2016,128,107,165
426,13,28,4,1856,1866,1914,46,10,59
427,29,9,6,1873,1877,1982,81,4,110
428,1,46,4,1894,1972,1972,78,78,79
429,12,21,7,1905,1909,1954,38,4,50
430,13,15,2,1911,1916,1963,40,5,53
431,1,21,6,1958,1973,1973,15,15,16
432,5,18,6,1993,1993,2001,4,0,9
433,21,0,3,2018,2018,2038,0,0,21
434,33,24,4,2048,2048,2080,0,0,33
435,20,6,4,2081,2081,2100,0,0,20
436,35,14,7,2129,2129,2186,23,0,58
437,50,0,1,2142,2142,2258,67,0,117
438,20,48,3,2184,2185,2240,37,1,57
439,10,36,2,2193,2194,2221,19,1,29
440,16,7,6,2223,2224,2261,23,1,39
441,1,23,0,2248,2249,2249,1,1,2
442,4,34,9,2260,2260,2264,1,0,5
443,7,18,3,2269,2269,2278,3,0,10
444,20,72,1,2273,2273,2306,14,0,34
445,24,27,8,2284,2284,2327,20,0,44
446,1,20,4,2287,2308,2308,21,21,22
447,27,8,4,2314,2314,2347,7,0,34
448,17,14,7,2357,2357,2373,0,0,17
449,31,0,0,2380,2380,2443,33,0,64
450,35,27,5,2384,2384,2463,45,0,80
451,30,12,4,2425,2426,2496,42,1,72
452,29,1,1,2451,2452,2512,33,1,62
453,1,19,4,2488,2489,2489,1,1,2
454,46,11,1,2499,2499,2572,28,0,74
455,1,33,2,2513,2514,2514,1,1,2
456,36,3,8,2533,2533,2595,27,0,63
457,24,42,1,2582,2582,2629,24,0,48
458,1,0,7,2597,2597,2597,0,0,1
459,13,21,9,2599,2599,2626,15,0,28
460,3,10,2,2603,2604,2610,5,1,8
461,24,5,9,2638,2638,2673,12,0,36
462,1,0,0,2638,2639,2639,1,1,2
463,1,14,5,2642,2642,2642,0,0,1
464,10,13,6,2649,2649,2667,9,0,19
465,54,33,3,2685,2685,2739,1,0,55
466,1,37,6,2715,2715,2715,0,0,1
467,25,27,5,2748,2748,2772,0,0,25
468,10,16,3,2791,2791,2800,0,0,10
469,24,37,0,2828,2828,2852,1,0,25
470,1,44,9,2851,2851,2851,0,0,1
471,58,0,6,2880,2880,3086,149,0,207
472,43,0,2,2880,2881,3039,117,1,160
473,1,11,6,2897,2898,2898,1,1,2
474,31,8,1,2906,2907,3041,105,1,136
475,13,26,6,2919,2921,2971,40,2,53
476,37,38,3,2960,2963,3106,110,3,147
477,11,22,6,2970,2974,3026,46,4,57
478,4,4,2,3015,3019,3036,18,4,22
479,5,28,4,3050,3051,3063,9,1,14
480,20,16,4,3062,3064,3126,45,2,65
481,29,32,0,3065,3067,3147,54,2,83
482,25,49,7,3086,3109,3165,55,23,80
483,12,25,0,3127,3149,3173,35,22,47
484,17,2,5,3162,3163,3185,7,1,24
485,26,27,6,3209,3209,3239,5,0,31
486,7,54,7,3230,3230,3241,5,0,12
487,36,17,2,3243,3243,3279,1,0,37
488,1,19,4,3270,3270,3270,0,0,1
489,3,38,9,3302,3302,3304,0,0,3
490,49,0,6,3316,3316,3477,113,0,162
491,13,33,4,3316,3317,3341,13,1,26
492,15,9,5,3342,3343,3391,35,1,50
493,46,57,1,3344,3345,3513,124,1,170
494,29,0,5,3368,3370,3487,91,2,120
495,34,11,9,3396,3398,3526,97,2,131
496,12,29,8,3442,3445,3497,44,3,56
497,17,8,4,3450,3499,3548,82,49,99
498,31,38,3,3481,3516,3588,77,35,108
499,59,0,3,3526,3528,3648,64,2,123
500,28,66,0,3551,3590,3644,66,39,94
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,38.85,6.73,60.15
,,,,,Max,149,124,207
,,,,,StdDev,38.46,18.88,49.56
