First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1101,50,23,5,38,38,87,0,0,50
1102,39,64,0,51,88,126,37,37,76
1103,59,58,4,91,127,185,36,36,95
1104,33,13,6,140,186,218,46,46,79
1105,38,15,5,165,219,256,54,54,92
1106,58,7,2,187,257,314,70,70,128
1107,80,29,4,196,315,394,119,119,199
1108,65,32,1,206,395,459,189,189,254
1109,55,28,3,246,460,514,214,214,269
1110,15,29,9,262,515,529,253,253,268
1111,52,44,0,308,530,581,222,222,274
1112,31,24,7,319,582,612,263,263,294
1113,45,33,1,326,613,657,287,287,332
1114,25,0,0,354,658,682,304,304,329
1115,1,16,6,368,683,683,315,315,316
1116,40,17,3,398,684,723,286,286,326
1117,28,25,7,428,724,751,296,296,324
1118,20,43,4,440,752,771,312,312,332
1119,77,12,2,488,772,848,284,284,361
1120,71,0,3,515,849,919,334,334,405
1121,33,12,4,537,920,952,383,383,416
1122,32,29,7,585,953,984,368,368,400
1123,58,24,5,606,985,1042,379,379,437
1124,46,0,4,615,1043,1088,428,428,474
1125,28,45,9,621,1089,1116,468,468,496
1126,51,0,6,665,1117,1167,452,452,503
1127,37,6,7,689,1168,1204,479,479,516
1128,42,40,5,698,1205,1246,507,507,549
1129,47,10,7,739,1247,1293,508,508,555
1130,64,22,2,771,1294,1357,523,523,587
1131,65,22,2,814,1358,1422,544,544,609
1132,85,4,9,822,1423,1507,601,601,686
1133,63,1,2,868,1508,1570,640,640,703
1134,16,2,9,893,1571,1586,678,678,694
1135,49,20,3,925,1587,1635,662,662,711
1136,16,14,1,964,1636,1651,672,672,688
1137,32,18,4,1005,1652,1683,647,647,679
1138,6,3,0,1020,1684,1689,664,664,670
1139,43,0,0,1065,1690,1732,625,625,668
1140,51,19,4,1110,1733,1783,623,623,674
1141,27,6,5,1140,1784,1810,644,644,671
1142,44,26,8,1145,1811,1854,666,666,710
1143,49,3,7,1163,1855,1903,692,692,741
1144,39,33,4,1170,1904,1942,734,734,773
1145,48,33,2,1175,1943,1990,768,768,816
1146,31,31,0,1181,1991,2021,810,810,841
1147,17,0,0,1183,2022,2038,839,839,856
1148,34,4,4,1192,2039,2072,847,847,881
1149,39,57,1,1221,2073,2111,852,852,891
1150,43,45,7,1242,2112,2154,870,870,913
1151,53,7,4,1288,2155,2207,867,867,920
1152,12,42,2,1334,2208,2219,874,874,886
1153,45,34,4,1383,2220,2264,837,837,882
1154,31,24,4,1429,2265,2295,836,836,867
1155,1,37,2,1448,2296,2296,848,848,849
1156,1,21,2,1469,2297,2297,828,828,829
1157,48,13,8,1480,2298,2345,818,818,866
1158,67,0,6,1483,2346,2412,863,863,930
1159,50,25,2,1529,2413,2462,884,884,934
1160,34,36,9,1542,2463,2496,921,921,955
1161,60,24,2,1573,2497,2556,924,924,984
1162,35,15,7,1612,2557,2591,945,945,980
1163,35,17,1,1640,2592,2626,952,952,987
1164,39,16,0,1641,2627,2665,986,986,1025
1165,43,25,3,1686,2666,2708,980,980,1023
1166,50,56,3,1702,2709,2758,1007,1007,1057
1167,1,0,1,1702,2759,2759,1057,1057,1058
1168,55,12,1,1749,2760,2814,1011,1011,1066
1169,45,6,1,1764,2815,2859,1051,1051,1096
1170,43,45,0,1770,2860,2902,1090,1090,1133
1171,44,0,5,1789,2903,2946,1114,1114,1158
1172,15,8,4,1797,2947,2961,1150,1150,1165
1173,61,31,5,1799,2962,3022,1163,1163,1224
1174,28,19,6,1847,3023,3050,1176,1176,1204
1175,57,45,5,1852,3051,3107,1199,1199,1256
1176,33,28,4,1856,3108,3140,1252,1252,1285
1177,49,9,6,1873,3141,3189,1268,1268,1317
1178,10,46,4,1894,3190,3199,1296,1296,1306
1179,32,21,7,1905,3200,3231,1295,1295,1327
1180,33,15,2,1911,3232,3264,1321,1321,1354
1181,15,21,6,1958,3265,3279,1307,1307,1322
1182,25,18,6,1993,3280,3304,1287,1287,1312
1183,41,0,3,2018,3305,3345,1287,1287,1328
1184,53,24,4,2048,3346,3398,1298,1298,1351
1185,40,6,4,2081,3399,3438,1318,1318,1358
1186,55,14,7,2129,3439,3493,1310,1310,1365
1187,70,0,1,2142,3494,3563,1352,1352,1422
1188,40,48,3,2184,3564,3603,1380,1380,1420
1189,30,36,2,2193,3604,3633,1411,1411,1441
1190,36,7,6,2223,3634,3669,1411,1411,1447
