Random Job,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
3251,90,43,5,38,38,127,0,0,90
3252,79,84,0,51,128,206,77,77,156
3253,99,78,4,91,10294,10392,10203,10203,10302
3254,73,33,6,140,207,413,201,67,274
3255,78,35,5,165,214,456,214,49,292
3256,98,27,2,187,208,486,202,21,300
3257,100,49,4,196,8291,8466,8171,8095,8271
3258,100,52,1,206,1857,2158,1853,1651,1953
3259,95,48,3,246,9706,9867,9527,9460,9622
3260,55,49,9,262,9608,9735,9419,9346,9474
3261,92,64,0,308,10202,10293,9894,9894,9986
3262,71,44,7,319,575,859,470,256,541
3263,85,53,1,326,9200,9363,8953,8874,9038
3264,65,19,0,354,507,785,367,153,432
3265,40,36,6,368,415,568,161,47,201
3266,80,37,3,398,461,675,198,63,278
3267,68,45,7,428,7683,7812,7317,7255,7385
3268,60,63,4,440,11563,11622,11123,11123,11183
3269,100,32,2,488,1119,1596,1009,631,1109
3270,100,0,3,515,520,993,379,5,479
3271,73,32,4,537,860,1195,586,323,659
3272,72,49,7,585,1597,1856,1200,1012,1272
3273,98,44,5,606,9365,9565,8862,8759,8960
3274,86,18,4,615,713,1118,418,98,504
3275,68,65,9,621,9132,9199,8511,8511,8579
3276,91,6,6,665,681,1100,345,16,436
3277,77,26,7,689,5043,5198,4433,4354,4510
3278,82,60,5,698,10120,10201,9422,9422,9504
3279,87,30,7,739,789,1163,338,50,425
3280,100,42,2,771,5734,5915,5045,4963,5145
3281,100,42,2,814,9903,10106,9193,9089,9293
3282,100,24,9,822,1921,2297,1376,1099,1476
3283,100,21,2,868,2649,3209,2242,1781,2342
3284,56,22,9,893,1779,1919,971,886,1027
3285,89,40,3,925,7172,7361,6348,6247,6437
3286,56,34,1,964,4453,4607,3588,3489,3644
3287,72,38,4,1005,6876,7082,6006,5871,6078
3288,46,23,0,1020,4883,5009,3944,3863,3990
3289,83,0,0,1065,1105,1477,330,40,413
3290,91,39,4,1110,5205,5454,4254,4095,4345
3291,67,26,5,1140,1166,1499,293,26,360
3292,84,46,8,1145,9452,9607,8379,8307,8463
3293,89,23,7,1163,1199,1586,335,36,424
3294,79,53,4,1170,10556,10706,9458,9386,9537
3295,88,53,2,1175,7508,7681,6419,6333,6507
3296,71,51,0,1181,7870,8004,6753,6689,6824
3297,57,8,0,1183,1238,1474,235,55,292
3298,74,24,4,1192,2165,2536,1271,973,1345
3299,79,77,1,1221,8968,9046,7747,7747,7826
3300,83,65,7,1242,11720,11802,10478,10478,10561
3301,93,27,4,1288,3606,3952,2572,2318,2665
3302,52,62,2,1334,5956,6066,4681,4622,4733
3303,85,54,4,1383,8006,8163,6696,6623,6781
3304,71,44,4,1429,9303,9449,7950,7874,8021
3305,41,57,2,1448,11522,11562,10074,10074,10115
3306,41,41,2,1469,7362,7441,5932,5893,5973
3307,88,33,8,1480,1502,1770,203,22,291
3308,100,12,6,1483,1503,1807,225,20,325
3309,90,45,2,1529,7814,8007,6389,6285,6479
3310,74,56,9,1542,11351,11424,9809,9809,9883
3311,100,44,2,1573,10710,10890,9218,9137,9318
3312,75,35,7,1612,2160,2524,838,548,913
3313,75,37,1,1640,2526,2839,1125,886,1200
3314,79,36,0,1641,6526,6751,5032,4885,5111
3315,83,45,3,1686,8120,8286,6518,6434,6601
3316,90,76,3,1702,11023,11112,9321,9321,9411
3317,35,15,1,1702,1772,1913,177,70,212
3318,95,32,1,1749,3263,3605,1762,1514,1857
3319,85,26,1,1764,6817,7064,5216,5053,5301
3320,83,65,0,1770,10393,10475,8623,8623,8706
3321,84,15,5,1789,1915,2225,353,126,437
3322,55,28,4,1797,4260,4421,2570,2463,2625
3323,100,51,5,1799,8165,8385,6487,6366,6587
3324,68,39,6,1847,3316,3579,1665,1469,1733
3325,97,65,5,1852,11623,11719,9771,9771,9868
3326,73,48,4,1856,9569,9705,7777,7713,7850
3327,89,29,6,1873,2307,2693,732,434,821
3328,50,66,4,1894,11113,11162,9219,9219,9269
