Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,40,0,3,38,38,77,0,0,40
202,29,0,0,51,78,106,27,27,56
203,49,0,2,91,107,155,16,16,65
204,23,0,4,140,156,178,16,16,39
205,28,0,3,165,179,206,14,14,42
206,48,0,0,187,497,544,310,310,358
207,70,0,2,196,207,276,11,11,81
208,55,0,0,206,384,438,178,178,233
209,45,0,1,246,282,326,36,36,81
210,5,0,8,262,277,281,15,15,20
211,42,0,0,308,1032,1073,724,724,766
212,21,0,5,319,327,347,8,8,29
213,35,0,0,326,348,382,22,22,57
214,15,0,0,354,2582,2596,2228,2228,2243
215,1,0,4,368,383,383,15,15,16
216,30,0,1,398,467,496,69,69,99
217,18,0,5,428,439,456,11,11,29
218,10,0,2,440,457,466,17,17,27
219,67,0,0,488,4051,4117,3563,3563,3630
220,61,0,1,515,568,628,53,53,114
221,23,0,2,537,545,567,8,8,31
222,22,0,5,585,647,668,62,62,84
223,48,0,3,606,806,853,200,200,248
224,36,0,2,615,935,970,320,320,356
225,18,0,8,621,629,646,8,8,26
226,41,0,4,665,669,709,4,4,45
227,27,0,5,689,710,736,21,21,48
228,32,0,3,698,737,768,39,39,71
229,37,0,5,739,769,805,30,30,67
230,54,0,0,771,4118,4171,3347,3347,3401
231,55,0,0,814,4364,4418,3550,3550,3605
232,75,0,8,822,854,928,32,32,107
233,53,0,0,868,1108,1160,240,240,293
234,6,0,7,893,929,934,36,36,42
235,39,0,1,925,971,1009,46,46,85
236,6,0,0,964,3937,3942,2973,2973,2979
237,22,0,2,1005,1010,1031,5,5,27
238,1,0,0,1020,1074,1074,54,54,55
239,33,0,0,1065,1075,1107,10,10,43
240,41,0,2,1110,1337,1377,227,227,268
241,17,0,3,1140,1234,1250,94,94,111
242,34,0,6,1145,1161,1194,16,16,50
243,39,0,5,1163,1195,1233,32,32,71
244,29,0,2,1170,1308,1336,138,138,167
245,38,0,0,1175,4172,4209,2997,2997,3035
246,21,0,0,1181,2515,2535,1334,1334,1355
247,7,0,0,1183,1781,1787,598,598,605
248,24,0,2,1192,1284,1307,92,92,116
249,29,0,0,1221,1479,1507,258,258,287
250,33,0,5,1242,1251,1283,9,9,42
251,43,0,2,1288,1378,1420,90,90,133
252,2,0,0,1334,1652,1653,318,318,320
253,35,0,2,1383,1421,1455,38,38,73
254,21,0,2,1429,1456,1476,27,27,48
255,1,0,0,1448,1477,1477,29,29,30
256,1,0,0,1469,1478,1478,9,9,10
257,38,0,6,1480,1508,1545,28,28,66
258,57,0,4,1483,1570,1626,87,87,144
259,40,0,0,1529,4324,4363,2795,2795,2835
260,24,0,7,1542,1546,1569,4,4,28
261,50,0,0,1573,4001,4050,2428,2428,2478
262,25,0,5,1612,1627,1651,15,15,40
263,25,0,0,1640,1683,1707,43,43,68
264,29,0,0,1641,1654,1682,13,13,42
265,33,0,1,1686,1708,1740,22,22,55
266,40,0,1,1702,1741,1780,39,39,79
267,1,0,0,1702,2840,2840,1138,1138,1139
268,45,0,0,1749,4419,4463,2670,2670,2715
269,35,0,0,1764,3966,4000,2202,2202,2237
270,33,0,0,1770,1788,1820,18,18,51
271,34,0,3,1789,1821,1854,32,32,66
272,5,0,2,1797,2119,2123,322,322,327
273,51,0,3,1799,1986,2036,187,187,238
274,18,0,4,1847,1855,1872,8,8,26
275,47,0,3,1852,1934,1980,82,82,129
276,23,0,2,1856,2052,2074,196,196,219
