Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
501,80,0,3,38,38,117,0,0,80
502,69,0,0,51,7366,7434,7315,7315,7384
503,89,0,2,91,118,206,27,27,116
504,63,0,4,140,207,269,67,67,130
505,68,0,3,165,315,382,150,150,218
506,88,0,0,187,9240,9327,9053,9053,9141
507,100,0,2,196,532,631,336,336,436
508,95,0,0,206,9955,10049,9749,9749,9844
509,85,0,1,246,6861,6945,6615,6615,6700
510,45,0,8,262,270,314,8,8,53
511,82,0,0,308,7655,7736,7347,7347,7429
512,61,0,5,319,383,443,64,64,125
513,75,0,0,326,8124,8198,7798,7798,7873
514,55,0,0,354,7900,7954,7546,7546,7601
515,30,0,4,368,502,531,134,134,164
516,70,0,1,398,5890,5959,5492,5492,5562
517,58,0,5,428,444,501,16,16,74
518,50,0,2,440,5714,5763,5274,5274,5324
519,100,0,0,488,10272,10371,9784,9784,9884
520,100,0,1,515,6620,6719,6105,6105,6205
521,63,0,2,537,5195,5257,4658,4658,4721
522,62,0,5,585,690,751,105,105,167
523,88,0,3,606,1421,1508,815,815,903
524,76,0,2,615,5764,5839,5149,5149,5225
525,58,0,8,621,632,689,11,11,69
526,81,0,4,665,1042,1122,377,377,458
527,67,0,5,689,752,818,63,63,130
528,72,0,3,698,1123,1194,425,425,497
529,77,0,5,739,819,895,80,80,157
530,94,0,0,771,7955,8048,7184,7184,7278
531,95,0,0,814,9709,9803,8895,8895,8990
532,100,0,8,822,896,995,74,74,174
533,93,0,0,868,7562,7654,6694,6694,6787
534,46,0,7,893,996,1041,103,103,149
535,79,0,1,925,6360,6438,5435,5435,5514
536,46,0,0,964,8454,8499,7490,7490,7536
537,62,0,2,1005,4716,4777,3711,3711,3773
538,36,0,0,1020,7330,7365,6310,6310,6346
539,73,0,0,1065,7435,7507,6370,6370,6443
540,81,0,2,1110,5114,5194,4004,4004,4085
541,57,0,3,1140,1813,1869,673,673,730
542,74,0,6,1145,1195,1268,50,50,124
543,79,0,5,1163,1269,1347,106,106,185
544,69,0,2,1170,5645,5713,4475,4475,4544
545,78,0,0,1175,9600,9677,8425,8425,8503
546,61,0,0,1181,10172,10232,8991,8991,9052
547,47,0,0,1183,8944,8990,7761,7761,7808
548,64,0,2,1192,5511,5574,4319,4319,4383
549,69,0,0,1221,9072,9140,7851,7851,7920
550,73,0,5,1242,1348,1420,106,106,179
551,83,0,2,1288,4356,4438,3068,3068,3151
552,42,0,0,1334,7044,7085,5710,5710,5752
553,75,0,2,1383,4564,4638,3181,3181,3256
554,61,0,2,1429,4778,4838,3349,3349,3410
555,31,0,0,1448,9678,9708,8230,8230,8261
556,31,0,0,1469,9569,9599,8100,8100,8131
557,78,0,6,1480,1509,1586,29,29,107
558,97,0,4,1483,1716,1812,233,233,330
559,80,0,0,1529,8816,8895,7287,7287,7367
560,64,0,7,1542,1587,1650,45,45,109
561,90,0,0,1573,8652,8741,7079,7079,7169
562,65,0,5,1612,1651,1715,39,39,104
563,65,0,0,1640,7172,7236,5532,5532,5597
564,69,0,0,1641,10050,10118,8409,8409,8478
565,73,0,1,1686,6120,6192,4434,4434,4507
566,80,0,1,1702,6280,6359,4578,4578,4658
567,25,0,0,1702,9215,9239,7513,7513,7538
568,85,0,0,1749,7737,7821,5988,5988,6073
569,75,0,0,1764,8049,8123,6285,6285,6360
570,73,0,0,1770,8579,8651,6809,6809,6882
571,74,0,3,1789,3818,3891,2029,2029,2103
572,45,0,2,1797,4964,5008,3167,3167,3212
573,91,0,3,1799,4265,4355,2466,2466,2557
574,58,0,4,1847,1870,1927,23,23,81
575,87,0,3,1852,4178,4264,2326,2326,2413
576,63,0,2,1856,5325,5387,3469,3469,3532
577,79,0,4,1873,1990,2068,117,117,196
578,40,0,2,1894,5388,5427,3494,3494,3534
579,62,0,5,1905,1928,1989,23,23,85
580,63,0,0,1911,8199,8261,6288,6288,6351
581,45,0,4,1958,2069,2113,111,111,156
582,55,0,4,1993,2114,2168,121,121,176
583,71,0,1,2018,6720,6790,4702,4702,4773
584,83,0,2,2048,5428,5510,3380,3380,3463
585,70,0,2,2081,5575,5644,3494,3494,3564
586,85,0,5,2129,2169,2253,40,40,125
587,100,0,0,2142,9469,9568,7327,7327,7427
588,70,0,1,2184,6791,6860,4607,4607,4677
589,60,0,0,2193,10372,10431,8179,8179,8239
590,66,0,4,2223,2254,2319,31,31,97
591,41,0,0,2248,7003,7043,4755,4755,4796
592,54,0,8,2260,2320,2373,60,60,114
593,57,0,1,2269,6946,7002,4677,4677,4734
594,70,0,0,2273,9804,9873,7531,7531,7601
595,74,0,6,2284,2374,2447,90,90,164
596,50,0,2,2287,5840,5889,3553,3553,3603
597,77,0,2,2314,4639,4715,2325,2325,2402
598,67,0,5,2357,2448,2514,91,91,158
599,81,0,0,2380,9874,9954,7494,7494,7575
600,85,0,3,2384,2515,2599,131,131,216
601,80,0,2,2425,4439,4518,2014,2014,2094
602,79,0,0,2451,8500,8578,6049,6049,6128
603,45,0,2,2488,4519,4563,2031,2031,2076
604,96,0,0,2499,8358,8453,5859,5859,5955
605,39,0,0,2513,10233,10271,7720,7720,7759
606,86,0,6,2533,2737,2822,204,204,290
607,74,0,0,2582,8742,8815,6160,6160,6234
608,41,0,5,2597,2823,2863,226,226,267
609,63,0,7,2599,2600,2662,1,1,64
610,53,0,0,2603,10119,10171,7516,7516,7569
611,74,0,7,2638,2663,2736,25,25,99
612,48,0,0,2638,8896,8943,6258,6258,6306
613,38,0,3,2642,3780,3817,1138,1138,1176
614,60,0,4,2649,2904,2963,255,255,315
615,100,0,1,2685,5960,6059,3275,3275,3375
616,46,0,4,2715,2964,3009,249,249,295
617,75,0,3,2748,3892,3966,1144,1144,1219
618,60,0,1,2791,6060,6119,3269,3269,3329
619,74,0,0,2828,9141,9214,6313,6313,6387
620,40,0,8,2851,2864,2903,13,13,53
621,100,0,4,2880,3010,3109,130,130,230
622,93,0,0,2880,7237,7329,4357,4357,4450
623,40,0,4,2897,3185,3224,288,288,328
624,81,0,0,2906,8991,9071,6085,6085,6166
625,63,0,4,2919,3225,3287,306,306,369
626,87,0,1,2960,6193,6279,3233,3233,3320
627,61,0,4,2970,3544,3604,574,574,635
628,54,0,0,3015,7508,7561,4493,4493,4547
629,55,0,2,3050,4909,4963,1859,1859,1914
630,70,0,2,3062,4839,4908,1777,1777,1847
631,79,0,0,3065,9390,9468,6325,6325,6404
632,75,0,5,3086,3110,3184,24,24,99
633,62,0,0,3127,9328,9389,6201,6201,6263
634,67,0,3,3162,4046,4112,884,884,951
635,76,0,4,3209,3605,3680,396,396,472
636,57,0,5,3230,3288,3344,58,58,115
637,86,0,0,3243,7086,7171,3843,3843,3929
638,42,0,2,3270,5009,5050,1739,1739,1781
639,53,0,7,3302,3345,3397,43,43,96
640,99,0,4,3316,3681,3779,365,365,464
641,63,0,2,3316,5051,5113,1735,1735,1798
642,65,0,3,3342,4113,4177,771,771,836
643,96,0,0,3344,8262,8357,4918,4918,5014
644,79,0,3,3368,3967,4045,599,599,678
645,84,0,8,3396,3398,3481,2,2,86
646,62,0,6,3442,3482,3543,40,40,102
647,67,0,2,3450,5258,5324,1808,1808,1875
648,81,0,1,3481,6539,6619,3058,3058,3139
649,100,0,1,3526,6439,6538,2913,2913,3013
650,78,0,0,3551,7822,7899,4271,4271,4349
,,,,,,,,
,,,,,Min,0,0,53
,,,,,Mean,3322.69,3322.69,3391.98
