Random Job,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1201,30,0,0,38,38,85,18,0,48
1202,19,0,0,51,51,86,17,0,36
1203,39,0,0,91,91,129,0,0,39
1204,13,0,0,140,140,152,0,0,13
1205,18,0,0,165,165,182,0,0,18
1206,38,0,0,187,187,310,86,0,124
1207,60,0,0,196,199,415,160,3,220
1208,45,0,0,206,208,428,178,2,223
1209,35,0,0,246,249,373,93,3,128
1210,1,0,0,262,269,269,7,7,8
1211,32,0,0,308,312,451,112,4,144
1212,11,0,0,319,328,391,62,9,73
1213,25,0,0,326,329,461,111,3,136
1214,5,0,0,354,372,398,40,18,45
1215,1,0,0,368,368,368,0,0,1
1216,20,0,0,398,407,468,51,9,71
1217,8,0,0,428,431,459,24,3,32
1218,1,0,0,440,440,440,0,0,1
1219,57,0,0,488,488,579,35,0,92
1220,51,0,0,515,516,649,84,1,135
1221,13,0,0,537,537,564,15,0,28
1222,12,0,0,585,585,603,7,0,19
1223,38,0,0,606,609,692,49,3,87
1224,26,0,0,615,618,720,80,3,106
1225,8,0,0,621,625,646,18,4,26
1226,31,0,0,665,667,797,102,2,133
1227,17,0,0,689,690,742,37,1,54
1228,22,0,0,698,699,760,41,1,63
1229,27,0,0,739,745,802,37,6,64
1230,44,0,0,771,771,880,66,0,110
1231,45,0,0,814,815,946,88,1,133
1232,65,0,0,822,823,1018,132,1,197
1233,43,0,0,868,876,1017,107,8,150
1234,1,0,0,893,901,901,8,8,9
1235,29,0,0,925,928,1022,69,3,98
1236,1,0,0,964,964,964,0,0,1
1237,12,0,0,1005,1006,1030,14,1,26
1238,1,0,0,1020,1020,1020,0,0,1
1239,23,0,0,1065,1065,1087,0,0,23
1240,31,0,0,1110,1110,1142,2,0,33
1241,7,0,0,1140,1140,1149,3,0,10
1242,24,0,0,1145,1146,1195,27,1,51
1243,29,0,0,1163,1163,1273,82,0,111
1244,19,0,0,1170,1175,1292,104,5,123
1245,28,0,0,1175,1176,1324,122,1,150
1246,11,0,0,1181,1183,1221,30,2,41
1247,1,0,0,1183,1185,1185,2,2,3
1248,14,0,0,1192,1207,1287,82,15,96
1249,19,0,0,1221,1230,1317,78,9,97
1250,23,0,0,1242,1243,1329,65,1,88
1251,33,0,0,1288,1288,1349,29,0,62
1252,1,0,0,1334,1339,1339,5,5,6
1253,25,0,0,1383,1383,1407,0,0,25
1254,11,0,0,1429,1429,1439,0,0,11
1255,1,0,0,1448,1448,1448,0,0,1
1256,1,0,0,1469,1469,1469,0,0,1
1257,28,0,0,1480,1480,1553,46,0,74
1258,47,0,0,1483,1484,1588,59,1,106
1259,30,0,0,1529,1531,1620,62,2,92
1260,14,0,0,1542,1543,1580,25,1,39
1261,40,0,0,1573,1577,1669,57,4,97
1262,15,0,0,1612,1615,1640,14,3,29
1263,15,0,0,1640,1643,1684,30,3,45
1264,19,0,0,1641,1648,1687,28,7,47
1265,23,0,0,1686,1688,1726,18,2,41
