Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1701,90,0,0,38,38,543,416,0,506
1702,79,0,0,51,51,572,443,0,522
1703,99,0,0,91,92,2428,2239,1,2338
1704,73,0,0,140,142,1686,1474,2,1547
1705,78,0,0,165,168,2571,2329,3,2407
1706,98,0,0,187,191,5836,5552,4,5650
1707,100,0,0,196,201,6353,6058,5,6158
1708,100,0,0,206,212,6514,6209,6,6309
1709,95,0,0,246,253,6516,6176,7,6271
1710,55,0,0,262,270,1875,1559,8,1614
1711,92,0,0,308,317,6985,6586,9,6678
1712,71,0,0,319,329,4286,3897,10,3968
1713,85,0,0,326,337,6281,5871,11,5956
1714,65,0,0,354,366,3813,3395,12,3460
1715,40,0,0,368,381,1539,1132,13,1172
1716,80,0,0,398,412,6337,5860,14,5940
1717,68,0,0,428,443,4950,4455,15,4523
1718,60,0,0,440,456,3914,3415,16,3475
1719,100,0,0,488,505,9337,8750,17,8850
1720,100,0,0,515,533,9472,8858,18,8958
1721,73,0,0,537,556,6443,5834,19,5907
1722,72,0,0,585,603,6626,5970,18,6042
1723,98,0,0,606,625,9739,9036,19,9134
1724,86,0,0,615,635,8504,7804,20,7890
1725,68,0,0,621,642,6355,5667,21,5735
1726,91,0,0,665,687,9313,8558,22,8649
1727,77,0,0,689,712,7828,7063,23,7140
1728,82,0,0,698,722,8451,7672,24,7754
1729,87,0,0,739,764,9208,8383,25,8470
1730,100,0,0,771,797,10502,9632,26,9732
1731,100,0,0,814,841,10622,9709,27,9809
1732,100,0,0,822,850,10645,9724,28,9824
1733,100,0,0,868,897,10747,9780,29,9880
1734,56,0,0,893,923,6114,5166,30,5222
1735,89,0,0,925,956,10023,9010,31,9099
1736,56,0,0,964,996,6412,5393,32,5449
1737,72,0,0,1005,1038,8521,7445,33,7517
1738,46,0,0,1020,1054,5281,4216,34,4262
1739,83,0,0,1065,1100,9858,8711,35,8794
1740,91,0,0,1110,1146,10625,9425,36,9516
1741,67,0,0,1140,1177,8363,7157,37,7224
1742,84,0,0,1145,1183,10142,8914,38,8998
1743,89,0,0,1163,1202,10581,9330,39,9419
1744,79,0,0,1170,1210,9744,8496,40,8575
1745,88,0,0,1175,1216,10525,9263,41,9351
1746,71,0,0,1181,1223,8937,7686,42,7757
1747,57,0,0,1183,1226,7291,6052,43,6109
1748,74,0,0,1192,1236,9302,8037,44,8111
1749,79,0,0,1221,1266,9862,8563,45,8642
1750,83,0,0,1242,1288,10258,8934,46,9017
1751,93,0,0,1288,1335,11021,9641,47,9734
1752,52,0,0,1334,1382,7091,5706,48,5758
1753,85,0,0,1383,1432,10636,9169,49,9254
1754,71,0,0,1429,1479,9501,8002,50,8073
1755,41,0,0,1448,1499,5962,4474,51,4515
1756,41,0,0,1469,1521,6012,4503,52,4544
1757,88,0,0,1480,1533,10955,9388,53,9476
1758,100,0,0,1483,1537,11489,9907,54,10007
1759,90,0,0,1529,1584,11113,9495,55,9585
1760,74,0,0,1542,1597,9989,8374,55,8448
1761,100,0,0,1573,1629,11536,9864,56,9964
1762,75,0,0,1612,1669,10182,8496,57,8571
1763,75,0,0,1640,1698,10217,8503,58,8578
1764,79,0,0,1641,1700,10539,8820,59,8899
1765,83,0,0,1686,1746,10863,9095,60,9178
1766,90,0,0,1702,1762,11244,9453,60,9543
1767,35,0,0,1702,1763,5755,4019,61,4054
1768,95,0,0,1749,1811,11473,9630,62,9725
1769,85,0,0,1764,1827,11058,9210,63,9295
1770,83,0,0,1770,1834,10950,9098,64,9181
1771,84,0,0,1789,1854,11023,9151,65,9235
1772,55,0,0,1797,1863,8446,6595,66,6650
1773,100,0,0,1799,1866,11627,9729,67,9829
1774,68,0,0,1847,1915,9901,7987,68,8055
1775,97,0,0,1852,1921,11578,9630,69,9727
1776,73,0,0,1856,1926,10343,8415,70,8488
1777,89,0,0,1873,1944,11312,9351,71,9440
1778,50,0,0,1894,1965,8016,6073,71,6123
1779,72,0,0,1905,1977,10317,8341,72,8413
1780,73,0,0,1911,1984,10406,8423,73,8496
1781,55,0,0,1958,2032,8711,6699,74,6754
1782,65,0,0,1993,2068,9812,7755,75,7820
1783,81,0,0,2018,2094,11034,8936,76,9017
1784,93,0,0,2048,2125,11542,9402,77,9495
1785,80,0,0,2081,2159,11024,8864,78,8944
1786,95,0,0,2129,2208,11617,9394,79,9489
1787,100,0,0,2142,2222,11711,9470,80,9570
1788,80,0,0,2184,2265,11093,8830,81,8910
1789,70,0,0,2193,2275,10456,8194,82,8264
1790,76,0,0,2223,2306,10896,8598,83,8674
1791,51,0,0,2248,2332,8672,6374,84,6425
1792,64,0,0,2260,2345,10020,7697,85,7761
1793,67,0,0,2269,2355,10291,7956,86,8023
1794,80,0,0,2273,2360,11149,8797,87,8877
1795,84,0,0,2284,2372,11324,8957,88,9041
1796,60,0,0,2287,2376,9679,7333,89,7393
1797,87,0,0,2314,2404,11456,9056,90,9143
1798,77,0,0,2357,2448,11047,8614,91,8691
1799,91,0,0,2380,2472,11593,9123,92,9214
1800,95,0,0,2384,2477,11674,9196,93,9291
1801,90,0,0,2425,2519,11579,9065,94,9155
1802,89,0,0,2451,2545,11563,9024,94,9113
1803,55,0,0,2488,2583,9396,6854,95,6909
1804,100,0,0,2499,2595,11760,9162,96,9262
1805,49,0,0,2513,2610,8776,6215,97,6264
1806,96,0,0,2533,2631,11715,9087,98,9183
1807,84,0,0,2582,2680,11448,8783,98,8867
1808,51,0,0,2597,2696,9089,6442,99,6493
1809,73,0,0,2599,2699,10963,8292,100,8365
1810,63,0,0,2603,2704,10255,7590,101,7653
1811,84,0,0,2638,2740,11467,8746,102,8830
1812,58,0,0,2638,2741,9843,7148,103,7206
1813,48,0,0,2642,2746,8808,6119,104,6167
1814,70,0,0,2649,2754,10809,8091,105,8161
1815,100,0,0,2685,2791,11778,8994,106,9094
1816,56,0,0,2715,2822,9724,6954,107,7010
1817,85,0,0,2748,2856,11532,8700,108,8785
1818,70,0,0,2791,2900,10891,8031,109,8101
1819,84,0,0,2828,2938,11523,8612,110,8696
1820,50,0,0,2851,2962,9240,6340,111,6390
1821,100,0,0,2880,2992,11787,8808,112,8908
1822,100,0,0,2880,2993,11788,8809,113,8909
1823,50,0,0,2897,3011,9285,6339,114,6389
1824,91,0,0,2906,3021,11695,8699,115,8790
1825,73,0,0,2919,3035,11124,8133,116,8206
1826,97,0,0,2960,3077,11771,8715,117,8812
1827,71,0,0,2970,3088,11043,8003,118,8074
1828,64,0,0,3015,3134,10627,7549,119,7613
1829,65,0,0,3050,3170,10714,7600,120,7665
1830,80,0,0,3062,3183,11460,8319,121,8399
1831,89,0,0,3065,3187,11682,8529,122,8618
1832,85,0,0,3086,3209,11609,8439,123,8524
1833,72,0,0,3127,3251,11160,7962,124,8034
1834,77,0,0,3162,3287,11382,8144,125,8221
1835,86,0,0,3209,3335,11649,8355,126,8441
1836,67,0,0,3230,3357,10936,7640,127,7707
1837,96,0,0,3243,3371,11783,8445,128,8541
1838,52,0,0,3270,3399,9799,6478,129,6530
1839,63,0,0,3302,3432,10715,7351,130,7414
1840,100,0,0,3316,3447,11799,8384,131,8484
1841,73,0,0,3316,3448,11267,7879,132,7952
1842,75,0,0,3342,3475,11357,7941,133,8016
1843,100,0,0,3344,3478,11800,8357,134,8457
1844,89,0,0,3368,3503,11720,8264,135,8353
1845,94,0,0,3396,3532,11777,8288,136,8382
1846,72,0,0,3442,3579,11262,7749,137,7821
1847,77,0,0,3450,3588,11463,7937,138,8014
1848,91,0,0,3481,3620,11753,8182,139,8273
1849,100,0,0,3526,3666,11802,8177,140,8277
1850,88,0,0,3551,3692,11727,8089,141,8177
,,,,,,,,
,,,,,Min,416,0,506
,,,,,Mean,7592.69,69.51,7671.13
,,,,,Max,9907,141,10007
,,,,,StdDev,2095.12,41.00,2361.65
