Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
501,30,0,0,38,38,67,0,0,30
502,19,0,0,51,68,86,17,17,36
503,39,0,0,91,91,129,0,0,39
504,13,0,0,140,140,152,0,0,13
505,18,0,0,165,165,182,0,0,18
506,38,0,0,187,187,224,0,0,38
507,60,0,0,196,306,468,213,110,273
508,45,0,0,206,225,270,20,19,65
509,35,0,0,246,271,305,25,25,60
510,1,0,0,262,262,262,0,0,1
511,32,0,0,308,308,350,11,0,43
512,11,0,0,319,319,329,0,0,11
513,25,0,0,326,351,381,31,25,56
514,5,0,0,354,354,358,0,0,5
515,1,0,0,368,368,368,0,0,1
516,20,0,0,398,398,417,0,0,20
517,8,0,0,428,428,435,0,0,8
518,1,0,0,440,440,440,0,0,1
519,57,0,0,488,488,544,0,0,57
520,51,0,0,515,558,620,55,43,106
521,13,0,0,537,545,557,8,8,21
522,12,0,0,585,585,596,0,0,12
523,38,0,0,606,655,692,49,49,87
524,26,0,0,615,629,654,14,14,40
525,8,0,0,621,621,628,0,0,8
526,31,0,0,665,732,762,67,67,98
527,17,0,0,689,693,709,4,4,21
528,22,0,0,698,710,731,12,12,34
529,27,0,0,739,763,789,24,24,51
530,44,0,0,771,790,833,19,19,63
531,45,0,0,814,834,878,20,20,65
532,65,0,0,822,923,1030,144,101,209
533,43,0,0,868,879,922,12,11,55
534,1,0,0,893,893,893,0,0,1
535,29,0,0,925,925,953,0,0,29
536,1,0,0,964,964,964,0,0,1
537,12,0,0,1005,1005,1016,0,0,12
538,1,0,0,1020,1020,1020,0,0,1
539,23,0,0,1065,1065,1087,0,0,23
540,31,0,0,1110,1110,1140,0,0,31
541,7,0,0,1140,1141,1147,1,1,8
542,24,0,0,1145,1148,1171,3,3,27
543,29,0,0,1163,1287,1315,124,124,153
544,19,0,0,1170,1172,1191,3,2,22
545,28,0,0,1175,1217,1263,61,42,89
546,11,0,0,1181,1192,1202,11,11,22
547,1,0,0,1183,1183,1183,0,0,1
548,14,0,0,1192,1203,1216,11,11,25
549,19,0,0,1221,1221,1239,0,0,19
550,23,0,0,1242,1264,1286,22,22,45
551,33,0,0,1288,1316,1349,29,28,62
552,1,0,0,1334,1334,1334,0,0,1
553,25,0,0,1383,1383,1407,0,0,25
554,11,0,0,1429,1429,1439,0,0,11
555,1,0,0,1448,1448,1448,0,0,1
556,1,0,0,1469,1469,1469,0,0,1
557,28,0,0,1480,1480,1507,0,0,28
558,47,0,0,1483,1508,1554,25,25,72
559,30,0,0,1529,1569,1598,40,40,70
560,14,0,0,1542,1555,1568,13,13,27
561,40,0,0,1573,1599,1653,41,26,81
562,15,0,0,1612,1612,1626,0,0,15
563,15,0,0,1640,1654,1668,14,14,29
564,19,0,0,1641,1669,1687,28,28,47
