Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
651,70,0,0,38,38,107,0,0,70
652,59,0,0,51,108,166,57,57,116
653,79,0,0,91,7204,7282,7113,7113,7192
654,53,0,0,140,167,219,27,27,80
655,58,0,0,165,220,277,55,55,113
656,78,0,0,187,7126,7203,6939,6939,7017
657,100,0,0,196,8781,8880,8585,8585,8685
658,85,0,0,206,7779,7863,7573,7573,7658
659,75,0,0,246,6667,6741,6421,6421,6496
660,35,0,0,262,278,312,16,16,51
661,72,0,0,308,313,384,5,5,77
662,51,0,0,319,538,588,219,219,270
663,65,0,0,326,957,1021,631,631,696
664,45,0,0,354,405,449,51,51,96
665,20,0,0,368,385,404,17,17,37
666,60,0,0,398,799,858,401,401,461
667,48,0,0,428,490,537,62,62,110
668,40,0,0,440,450,489,10,10,50
669,97,0,0,488,8487,8583,7999,7999,8096
670,91,0,0,515,8302,8392,7787,7787,7878
671,53,0,0,537,689,741,152,152,205
672,52,0,0,585,589,640,4,4,56
673,78,0,0,606,7048,7125,6442,6442,6520
674,66,0,0,615,4773,4838,4158,4158,4224
675,48,0,0,621,641,688,20,20,68
676,71,0,0,665,6080,6150,5415,5415,5486
677,57,0,0,689,742,798,53,53,110
678,62,0,0,698,859,920,161,161,223
679,67,0,0,739,4905,4971,4166,4166,4233
680,84,0,0,771,7610,7693,6839,6839,6923
681,85,0,0,814,7694,7778,6880,6880,6965
682,100,0,0,822,8881,8980,8059,8059,8159
683,83,0,0,868,7444,7526,6576,6576,6659
684,36,0,0,893,921,956,28,28,64
685,69,0,0,925,5381,5449,4456,4456,4525
686,36,0,0,964,1048,1083,84,84,120
687,52,0,0,1005,1084,1135,79,79,131
688,26,0,0,1020,1022,1047,2,2,28
689,63,0,0,1065,1136,1198,71,71,134
690,71,0,0,1110,5867,5937,4757,4757,4828
691,47,0,0,1140,1236,1282,96,96,143
692,64,0,0,1145,4193,4256,3048,3048,3112
693,69,0,0,1163,5450,5518,4287,4287,4356
694,59,0,0,1170,1420,1478,250,250,309
695,68,0,0,1175,5107,5174,3932,3932,4000
696,51,0,0,1181,1283,1333,102,102,153
697,37,0,0,1183,1199,1235,16,16,53
698,54,0,0,1192,1366,1419,174,174,228
699,59,0,0,1221,1751,1809,530,530,589
700,63,0,0,1242,4003,4065,2761,2761,2824
701,73,0,0,1288,6295,6367,5007,5007,5080
702,32,0,0,1334,1334,1365,0,0,32
703,65,0,0,1383,4643,4707,3260,3260,3325
704,51,0,0,1429,1521,1571,92,92,143
705,21,0,0,1448,1479,1499,31,31,52
706,21,0,0,1469,1500,1520,31,31,52
707,68,0,0,1480,5175,5242,3695,3695,3763
708,87,0,0,1483,8036,8122,6553,6553,6640
709,70,0,0,1529,5727,5796,4198,4198,4268
710,54,0,0,1542,1572,1625,30,30,84
711,80,0,0,1573,7283,7362,5710,5710,5790
712,55,0,0,1612,1626,1680,14,14,69
713,55,0,0,1640,1681,1735,41,41,96
714,59,0,0,1641,1845,1903,204,204,263
715,63,0,0,1686,4066,4128,2380,2380,2443
716,70,0,0,1702,5797,5866,4095,4095,4165
717,15,0,0,1702,1736,1750,34,34,49
718,75,0,0,1749,6592,6666,4843,4843,4918
719,65,0,0,1764,4578,4642,2814,2814,2879
720,63,0,0,1770,3940,4002,2170,2170,2233
721,64,0,0,1789,4129,4192,2340,2340,2404
722,35,0,0,1797,1810,1844,13,13,48
723,81,0,0,1799,7363,7443,5564,5564,5645
724,48,0,0,1847,1934,1981,87,87,135
725,77,0,0,1852,6894,6970,5042,5042,5119
726,53,0,0,1856,2114,2166,258,258,311
727,69,0,0,1873,5312,5380,3439,3439,3508
728,30,0,0,1894,1904,1933,10,10,40
729,52,0,0,1905,2062,2113,157,157,209
730,53,0,0,1911,2167,2219,256,256,309
