Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
1251,90,0,0,38,38,127,0,0,90
1252,79,0,0,51,128,206,77,77,156
1253,99,0,0,91,9804,9902,9713,9713,9812
1254,73,0,0,140,207,279,67,67,140
1255,78,0,0,165,4462,4539,4297,4297,4375
1256,98,0,0,187,9608,9705,9421,9421,9519
1257,100,0,0,196,11203,11302,11007,11007,11107
1258,100,0,0,206,11003,11102,10797,10797,10897
1259,95,0,0,246,9127,9221,8881,8881,8976
1260,55,0,0,262,280,334,18,18,73
1261,92,0,0,308,8470,8561,8162,8162,8254
1262,71,0,0,319,335,405,16,16,87
1263,85,0,0,326,6176,6260,5850,5850,5935
1264,65,0,0,354,506,570,152,152,217
1265,40,0,0,368,406,445,38,38,78
1266,80,0,0,398,4777,4856,4379,4379,4459
1267,68,0,0,428,571,638,143,143,211
1268,60,0,0,440,446,505,6,6,66
1269,100,0,0,488,10103,10202,9615,9615,9715
1270,100,0,0,515,11703,11802,11188,11188,11288
1271,73,0,0,537,779,851,242,242,315
1272,72,0,0,585,707,778,122,122,194
1273,98,0,0,606,9706,9803,9100,9100,9198
1274,86,0,0,615,6687,6772,6072,6072,6158
1275,68,0,0,621,639,706,18,18,86
1276,91,0,0,665,8015,8105,7350,7350,7441
1277,77,0,0,689,852,928,163,163,240
1278,82,0,0,698,5258,5339,4560,4560,4642
1279,87,0,0,739,6773,6859,6034,6034,6121
1280,100,0,0,771,10903,11002,10132,10132,10232
1281,100,0,0,814,11303,11402,10489,10489,10589
1282,100,0,0,822,10003,10102,9181,9181,9281
1283,100,0,0,868,11403,11502,10535,10535,10635
1284,56,0,0,893,929,984,36,36,92
1285,89,0,0,925,7300,7388,6375,6375,6464
1286,56,0,0,964,985,1040,21,21,77
1287,72,0,0,1005,1087,1158,82,82,154
1288,46,0,0,1020,1041,1086,21,21,67
1289,83,0,0,1065,5423,5505,4358,4358,4441
1290,91,0,0,1110,8288,8378,7178,7178,7269
1291,67,0,0,1140,1159,1225,19,19,86
1292,84,0,0,1145,6008,6091,4863,4863,4947
1293,89,0,0,1163,7478,7566,6315,6315,6404
1294,79,0,0,1170,4619,4697,3449,3449,3528
1295,88,0,0,1175,7123,7210,5948,5948,6036
1296,71,0,0,1181,1283,1353,102,102,173
1297,57,0,0,1183,1226,1282,43,43,100
1298,74,0,0,1192,1406,1479,214,214,288
1299,79,0,0,1221,4698,4776,3477,3477,3556
1300,83,0,0,1242,5589,5671,4347,4347,4430
1301,93,0,0,1288,8655,8747,7367,7367,7460
1302,52,0,0,1334,1354,1405,20,20,72
1303,85,0,0,1383,6261,6345,4878,4878,4963
1304,71,0,0,1429,1562,1632,133,133,204
1305,41,0,0,1448,1480,1520,32,32,73
1306,41,0,0,1469,1521,1561,52,52,93
1307,88,0,0,1480,6947,7034,5467,5467,5555
1308,100,0,0,1483,10603,10702,9120,9120,9220
1309,90,0,0,1529,7835,7924,6306,6306,6396
1310,74,0,0,1542,1633,1706,91,91,165
1311,100,0,0,1573,10203,10302,8630,8630,8730
1312,75,0,0,1612,1742,1816,130,130,205
1313,75,0,0,1640,4005,4079,2365,2365,2440
1314,79,0,0,1641,4540,4618,2899,2899,2978
1315,83,0,0,1686,5340,5422,3654,3654,3737
1316,90,0,0,1702,7745,7834,6043,6043,6133
1317,35,0,0,1702,1707,1741,5,5,40
1318,95,0,0,1749,8937,9031,7188,7188,7283
1319,85,0,0,1764,6516,6600,4752,4752,4837
1320,83,0,0,1770,5506,5588,3736,3736,3819
1321,84,0,0,1789,5840,5923,4051,4051,4135
1322,55,0,0,1797,1817,1871,20,20,75
1323,100,0,0,1799,10403,10502,8604,8604,8704
1324,68,0,0,1847,1872,1939,25,25,93
1325,97,0,0,1852,9414,9510,7562,7562,7659
1326,73,0,0,1856,2182,2254,326,326,399
1327,89,0,0,1873,7389,7477,5516,5516,5605
